ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
186,186,MANZANA 66,2875 Moreno & Catamarca,BALVANERA,COMUNA 3,PLAZA ABIERTA,20.0,1,-34.6135,-58.4061
432,187,JOSE MARIA MORENO,141 Jose Maria Moreno,CABALLITO,COMUNA 6,VEREDA,20.0,1,-34.6202,-58.4356
227,188,ARANGUREN,"1 Aranguren, Juan F., Dr. & Portugal",CABALLITO,COMUNA 6,CALZADA,20.0,1,-34.6104,-58.4328
189,189,POSADAS,1350 Posadas & Montevideo,RETIRO,COMUNA 1,CALZADA,20.0,1,-34.5885,-58.3855
190,190,JUNCAL,"Juncal & Salguero, Jeronimo",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5852,-58.4110
191,191,RIVADAVIA Y 9 DE JULIO,Pellegrini & Rivadavia Av.,SAN NICOLAS,COMUNA 1,PLAZOLETA,16.0,1,-34.6084,-58.3808
192,192,TALCAHUANO,990 Talcahuano & Marcelo T. Alvear,RETIRO,COMUNA 1,CALZADA,20.0,0,-34.5972,-58.3857
193,193,ARENALES Y AGUERO,2882 Arenales & Aguero,RECOLETA,COMUNA 2,CALZADA,20.0,1,-34.5909,-58.4061
194,194,PERON Y ACUÑA DE FIGUEROA,"3997 Peron, Juan Domingo, Tte. General",ALMAGRO,COMUNA 5,CALZADA,16.0,1,-34.6060,-58.4227
211,195,PLAZA GARAY,"Garay, Juan De Av. &Saenz Peña, Luis, Pres.",CONSTITUCION,COMUNA 1,PLAZA ABIERTA,20.0,0,-34.6271,-58.3872
196,196,HOSPITAL ARGERICH,750 Pi Y Margall & Necochea,BOCA,COMUNA 4,VEREDA,20.0,1,-34.6278,-58.3661
197,197,PLAZA CIUDAD DE UDINE,Mercedes 1480,FLORESTA,COMUNA 10,CALZADA,20.0,1,-34.6210,-58.4930
507,197,QUINTINO BOCAYUVA,"Bocayuva, Quintino & Don Bosco",ALMAGRO,COMUNA 5,CALZADA,20.0,3,-34.6136,-58.4255
217,198,HOSPITAL SARDA,"Castillo, Catulo & Dean Funes",PARQUE PATRICIOS,COMUNA 4,CALZADA,16.0,0,-34.6344,-58.4043
199,199,ESTADOS UNIDOS Y BOEDO,3568 Estados Unidos & Boedo Av.,BOEDO,COMUNA 5,CALZADA,20.0,1,-34.6224,-58.4158
200,200,AUSTRIA Y FRENCH,2080 Austria & French,RECOLETA,COMUNA 3,CALZADA,20.0,1,-34.5883,-58.4043
508,201,PEPIRI,"Alcorta, Amancio Av. y Pepiri",NUEVA POMPEYA,COMUNA 4,VEREDA,8.0,3,-34.6520,-58.4073
429,201,PLAZA EJERCITO DE LOS ANDES,40 Albariño,VILLA LURO,COMUNA 10,PLAZA,8.0,1,-34.6391,-58.5101
332,202,NOGOYA Y ARGERICH,3018 Argerich,VILLA DEL PARQUE,COMUNA 11,CALZADA,16.0,0,-34.6020,-58.4910
333,203,BEIRO,3572 Av. Beiro,DEVOTO,COMUNA 11,VEREDA,20.0,1,-34.6007,-58.5034
382,204,BIARRITZ,2403 Biarritz,VILLA DEL PARQUE,COMUNA 11,CALZADA,16.0,1,-34.6055,-58.4774
316,205,SAN MARTIN,1471 Cucha Cucha,VILLA CRESPO,COMUNA 15,CALZADA,16.0,1,-34.6057,-58.4532
335,206,GALICIA,2502 Galicia,VILLA GENERAL MITRE,COMUNA 11,CALZADA,20.0,1,-34.6158,-58.4708
336,207,PLAZA ARENALES,Nueva York & Chivilcoy,DEVOTO,COMUNA 11,VEREDA,28.0,1,-34.6001,-58.5117
337,208,SEGUI,2419 Segui,PATERNAL,COMUNA 15,CALZADA,16.0,0,-34.5985,-58.4613
256,209,PAYSANDU,1182 Paysandu,CABALLITO,COMUNA 6,CALZADA,20.0,0,-34.6104,-58.4543
338,210,TERRERO,3211 Terrero,VILLA DEL PARQUE,COMUNA 11,CALZADA,16.0,0,-34.6029,-58.4794
339,211,ARANGUREN Y SEGUI,"1608 Aranguren, Juan F., Dr.",CABALLITO,COMUNA 6,CALZADA,16.0,0,-34.6194,-58.4546
314,212,SOR JUANA,1630 Galicia,CABALLITO,COMUNA 6,CALZADA,16.0,0,-34.6104,-58.4603
311,213,HOSPITAL ALVEAR,2626 Av. Warnes,PATERNAL,COMUNA 15,VEREDA,20.0,1,-34.5974,-58.4753
340,214,FLORES,2620 Bogota,FLORES,COMUNA 7,CALZADA,12.0,0,-34.6263,-58.4674
378,215,HOSPITAL ALVAREZ,683 Plurinacional de Bolivia,FLORES,COMUNA 7,CALZADA,20.0,1,-34.6231,-58.4684
341,216,MAGARIÑOS CERVANTES Y ARGERICH,"3011 Magariños Cervantes, A.",VILLA SANTA RITA,COMUNA 11,CALZADA,16.0,0,-34.6142,-58.4813
238,217,CACHIMAYO,1489 Cachimayo,PARQUE CHACABUCO,COMUNA 7,CALZADA,24.0,0,-34.6366,-58.4368
342,218,CAMPANA,1523 Campana,VILLA SANTA RITA,COMUNA 11,CALZADA,20.0,1,-34.6168,-58.4842
458,219,PARQUE CHACABUCO II,Avenida Asamblea y Miro,PARQUE CHACABUCO,COMUNA 7,VEREDA,20.0,1,-34.6363,-58.4439
317,220,GIRIBONE,1101 Giribone,CHACARITA,COMUNA 15,CALZADA,20.0,0,-34.5798,-58.4577
