Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17205933BAEcobici,292  -  PLAZA BOLIVIA,281  -  VILLA URQUIZA,1750,-34.5635,-58.4367,-34.5736,-58.4873,4.767273293966686
17354135BAEcobici,191  -  RIVADAVIA Y 9 DE JULIO,045  -  URUGUAY,428,-34.6084,-58.3808,-34.6022,-58.3866,0.8700957890339017
17168159BAEcobici,163  -  ONCE II,333  -  PARQUE DE LA ESTACION,408,-34.6088,-58.4061,-34.608,-58.4118,0.5291904237827906
17357399BAEcobici,033  -  FACULTAD DE MEDICINA,345  -  PLAZA MAFALDA,1689,-34.5972,-58.3988,-34.5809,-58.4446,4.567564884263311
17174555BAEcobici,050  -  HOSPITAL RIVADAVIA,325  -  MEDRANO,1215,-34.5836,-58.4012,-34.6094,-58.4215,3.418003509462333
17238247BAEcobici,137  -  AZOPARDO Y CHILE,108  -  USINA DEL ARTE,764,-34.6157,-58.3676,-34.6289,-58.3562,1.8006972389275604
17329660BAEcobici,160  -  GODOY CRUZ Y LIBERTADOR,255  -  BARRANCAS DE BELGRANO,713,-34.5728,-58.4207,-34.5599,-58.4482,2.8979559406682087
17187469BAEcobici,084  -  TEATRO PICADERO,030  -  PENA,1000,-34.6042,-58.3937,-34.5906,-58.3974,1.5497090074767275
17335413BAEcobici,008  -  CONGRESO,074  -  INSTITUTO LELOIR,1618,-34.6101,-58.3891,-34.6046,-58.4348,4.226962451212201
17301144BAEcobici,207  -  PLAZA ARENALES,052  -  CAMPANA II,1008,-34.6001,-58.5117,-34.583,-58.5131,1.9057469910172231
17260185BAEcobici,116  -  HOSPITAL ALEMAN,144  -  PUEYRREDON,1898,-34.5921,-58.4028,-34.6021,-58.4061,1.1522449067811387
17322811BAEcobici,004  -  PLAZA ROMA,152  -  JULIETA LANTERI,615,-34.6018,-58.3691,-34.6181,-58.36,1.9946546209100158
17120756BAEcobici,044  -  ECOPARQUE,005  -  PLAZA ITALIA,350,-34.5758,-58.4143,-34.5808,-58.4204,0.7880334901238665
17174487BAEcobici,100  -  PLAZA GURRUCHAGA,223  -  GAINZA,964,-34.5931,-58.4351,-34.6168,-58.4467,2.84113531339866
17209007BAEcobici,041  -  PARQUE PATRICIOS II,335  -  GENERAL URQUIZA,4358,-34.6374,-58.4057,-34.5713,-58.4119,7.37185668455418
17180285BAEcobici,027  -  MONTEVIDEO,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,777,-34.5994,-58.3897,-34.597,-58.4076,1.6599891333783696
17261279BAEcobici,050  -  HOSPITAL RIVADAVIA,012  -  PLAZA VICENTE LOPEZ,1122,-34.5836,-58.4012,-34.5928,-58.3888,1.5280716689423788
17158908BAEcobici,070  -  ARAOZ,345  -  PLAZA MAFALDA,732,-34.5927,-58.4258,-34.5809,-58.4446,2.1641361347768773
17357414BAEcobici,237  -  MADERO OFFICE,130  -  RETIRO II,534,-34.5991,-58.3645,-34.5927,-58.375,1.1958891378161016
17170204BAEcobici,158  -  VILLARROEL,267  -  PLAZA 25 DE AGOSTO,2233,-34.5925,-58.4452,-34.5797,-58.4618,2.082076004727522
17189918BAEcobici,206  -  GALICIA,347  -  CARABOBO,638,-34.6158,-58.4708,-34.626,-58.4553,1.8160561778470097
17243210BAEcobici,050  -  HOSPITAL RIVADAVIA,050  -  HOSPITAL RIVADAVIA,2338,-34.5836,-58.4012,-34.5836,-58.4012,0.0
17365397BAEcobici,249  -  BALBIN,396  -  PLAZA ALBERTI,361,-34.5614,-58.4657,-34.55571,-58.45789,0.9548883633656771
17323067BAEcobici,233  -  MONROE,364  -  CERRETTI Y MANUELA PEDRAZA,1605,-34.5641,-58.4698,-34.5691,-58.5003,2.847547594663632
17127648BAEcobici,004  -  PLAZA ROMA,130  -  RETIRO II,357,-34.6018,-58.3691,-34.5927,-58.375,1.1469647449587603
17116210BAEcobici,384  -  PLAZA BENITO NAZAR,223  -  GAINZA,598,-34.6048,-58.4463,-34.6168,-58.4467,1.3348411647132619
17119029BAEcobici,067  -  PARQUE SARMIENTO I,281  -  VILLA URQUIZA,1721,-34.5553,-58.4948,-34.5736,-58.4873,2.1476314942824217
17132192BAEcobici,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,030  -  PENA,771,-34.597,-58.4076,-34.5906,-58.3974,1.173952980544661
17350173BAEcobici,130  -  RETIRO II,001  -  FACULTAD DE DERECHO,717,-34.5927,-58.375,-34.5842,-58.3905,1.704866977189302
17254042BAEcobici,073  -  RUY DIAZ DE GUZMAN,049  -  33 ORIENTALES,2805,-34.6305,-58.3716,-34.6288,-58.4223,4.642692010749061
17339712BAEcobici,255  -  BARRANCAS DE BELGRANO,014  -  PACIFICO,1183,-34.5599,-58.4482,-34.5782,-58.4266,2.837638966008368
